Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-8690.0;-8690;8;0;0;0
2;-14390;-11540;5;0;0;0
3;-20190;-14423;6;0;0;0
4;-23740;-16752;6;0;0;0
5;-23580;-18118;8;0;0;0
6;-15640;-17705;6;0;0;0
7;-20790;-18146;6;0;0;0
8;-23570;-18824;10;0;0;0
9;-20700;-19032;6;0;0;0
10;-8790;-18008;8;0;0;0
11;-14890;-17725;18;1;0;0
12;-10640;-17134;14;0;0;0
13;-21400;-17462;23;0;0;1
14;-30180;-18371;13;0;0;0
15;-19430;-18441;10;0;0;0
16;-24400;-18814;6;0;0;0
17;-24930;-19174;7;0;0;0
18;-19500;-19192;5;0;0;0
19;-27800;-19645;9;0;0;0
20;-19040;-19614;6;0;0;0
21;-37730;-20477;27;0;0;0
22;-22440;-20566;9;0;0;0
23;-20020;-20543;15;0;0;0
24;-26450;-20789;7;0;0;0
25;-13680;-20504;6;0;0;0
26;-24680;-20665;8;0;0;0
27;-36520;-21252;26;0;0;0
28;-14340;-21005;5;0;0;0
29;-10790;-20653;10;0;0;0
30;-24990;-20798;6;0;0;0
31;-33040;-21193;15;0;0;0
32;-25490;-21327;8;0;0;0
33;-15280;-21144;6;1;0;0
34;-21230;-21146;10;0;0;0
35;-17130;-21031;9;0;0;0
36;-20690;-21022;6;0;0;0
37;-21240;-21028;8;0;0;0
38;-21130;-21031;8;0;0;0
39;-12580;-20814;14;0;0;0
40;-14180;-20648;15;0;0;0
41;-6580;-20305;8;0;0;0
42;-7590;-20002;7;0;0;0
43;-24110;-20098;16;0;0;0
44;-21390;-20127;8;0;0;0
45;-37950;-20523;22;0;0;1
46;-23850;-20595;5;0;0;0
47;-19390;-20570;7;0;0;0
48;-17640;-20509;9;0;0;0
49;-23730;-20574;7;0;0;0
50;-14730;-20458;5;0;0;0
51;-29770;-20640;16;0;0;0
52;-23690;-20699;6;0;0;0
53;-29190;-20859;11;0;0;0
54;-24150;-20920;5;0;0;0
55;-6590;-20659;6;0;0;0
56;-19590;-20640;5;0;0;0
57;-22490;-20673;5;0;0;0
58;-21760;-20692;13;0;0;0
59;-12040;-20545;11;0;0;0
60;-14320;-20441;18;2;0;1
61;-19600;-20427;5;0;0;0
62;-9610;-20253;15;0;0;0
63;-21800;-20277;24;1;0;2
64;-27770;-20395;27;0;0;0
65;-39520;-20689;20;0;0;0
66;-25450;-20761;7;0;0;0
67;-27150;-20856;8;0;0;0
68;-10780;-20708;12;0;0;0
69;-5240;-20484;9;0;0;0
70;-19600;-20471;5;0;0;0
71;-26490;-20556;8;0;0;0
72;-23790;-20601;6;0;0;0
73;-10890;-20468;10;0;0;0
74;-2180;-20221;11;0;0;2
75;-22490;-20251;5;0;0;0
76;-27820;-20351;13;0;0;0
77;-23470;-20391;10;0;0;0
78;-21340;-20403;7;0;0;0
79;-19540;-20392;6;0;0;0
80;-19690;-20384;5;0;0;0
81;-26870;-20464;13;0;0;0
82;-23420;-20500;11;0;0;0
83;-30170;-20616;17;1;0;0
84;-52670;-20998;36;0;0;1
85;-34770;-21160;25;0;0;0
86;-28550;-21246;23;0;0;0
87;-24890;-21288;7;0;0;0
88;-11990;-21182;12;0;0;0
89;-14870;-21111;9;0;0;0
90;-30290;-21213;14;0;0;0
91;-24750;-21252;6;0;0;0
92;-51020;-21576;44;0;0;0
93;-18320;-21541;25;0;0;0
94;-29840;-21629;32;2;0;2
95;-15100;-21560;23;0;0;0
96;-26780;-21614;11;0;0;0
97;-7280;-21467;14;0;0;0
98;-23590;-21488;10;0;0;0
99;-29460;-21569;21;0;0;0
100;-22630;-21580;19;0;0;0
101;-23990;-21603;9;0;0;0
102;-13760;-21526;20;2;0;0
103;-24670;-21557;11;0;0;0
104;-19930;-21541;7;0;0;0
105;-53030;-21841;58;2;0;1
106;-30270;-21921;16;0;0;0
107;-20690;-21909;6;0;0;0
108;-21750;-21908;46;0;0;6
109;-33790;-22017;29;0;0;0
110;-18100;-21981;38;2;0;2
111;-20040;-21964;7;0;0;0
112;-24550;-21987;10;0;0;0
113;-28120;-22041;15;0;0;0
114;-22120;-22042;25;0;0;0
115;-135840;-23031;166;3;0;7
116;-8990;-22910;14;0;0;0
117;-25890;-22936;7;0;0;0
118;-23990;-22945;34;0;0;0
119;-29930;-23003;14;0;0;0
120;-11690;-22909;25;0;0;0
121;-27630;-22948;10;0;0;0
122;-26620;-22978;15;0;0;0
123;-19600;-22951;5;0;0;0
124;-9540;-22843;13;0;0;0
125;-40050;-22980;30;0;0;0
126;-42970;-23139;36;0;0;0
127;-33100;-23217;17;0;0;2
128;-20390;-23195;7;0;0;0
129;-14870;-23131;9;0;0;0
130;-8810;-23021;12;0;0;0
131;-20140;-22999;7;0;0;0
132;-42420;-23146;34;1;0;0
133;-22930;-23144;6;0;0;0
134;-43170;-23294;28;0;0;0
135;-12260;-23212;16;0;0;0
136;-14160;-23145;19;0;0;0
137;-25670;-23164;12;1;0;0
138;-25630;-23182;15;0;0;0
139;-68920;-23511;78;3;0;3
140;-19590;-23483;5;0;0;0
141;-16030;-23430;7;0;0;0
142;-23290;-23429;6;0;0;0
143;-20010;-23405;32;0;0;1
144;-34210;-23480;20;0;0;0
145;-23430;-23480;13;0;0;0
146;-25390;-23493;48;0;0;0
147;-8670;-23392;24;0;0;1
148;-11850;-23314;14;0;0;2
149;-36670;-23403;47;0;0;0
150;-42470;-23531;38;1;0;0
151;-25350;-23543;6;0;0;0
152;-15040;-23487;5;0;0;0
153;-20040;-23464;7;0;0;0
154;-2940;-23331;7;0;0;0
155;-17230;-23291;8;0;0;0
156;-21890;-23282;7;0;0;0
157;-24640;-23291;10;0;0;0
158;-25500;-23305;7;0;0;0
159;-24080;-23310;12;0;0;0
160;-7130;-23209;18;0;0;2
161;-3120;-23084;14;0;0;0
162;-14850;-23033;24;0;0;0
163;-28080;-23064;12;0;0;0
164;-9870;-22984;13;0;0;0
165;-49700;-23146;52;0;0;0
166;3080;-22988;8;0;0;0
167;-30250;-23031;50;0;0;1
168;-26280;-23051;13;0;0;0
169;-1840;-22925;6;0;0;0
170;-28600;-22958;58;0;0;0
171;-46120;-23094;31;0;0;0
172;-25350;-23107;7;0;0;0
173;-24350;-23114;5;0;0;0
174;-43570;-23232;59;4;0;0
175;-21950;-23224;21;0;0;1
176;-44630;-23346;65;2;0;2
177;-5030;-23243;11;0;0;0
178;-15940;-23202;6;0;0;0
179;-30700;-23243;26;0;0;0
180;-19650;-23223;26;0;0;0
181;-19140;-23201;6;0;0;0
182;-22630;-23198;14;0;0;0
183;-33590;-23255;22;0;0;1
184;-41110;-23352;36;0;0;0
185;-20240;-23335;7;0;0;0
186;-3290;-23227;9;1;0;0
187;-22380;-23222;12;0;0;0
188;-18560;-23198;25;0;0;0
189;-86170;-23531;152;3;0;4
190;-16230;-23492;21;0;0;0
191;-36140;-23559;29;1;0;1
192;-22240;-23552;10;0;0;0
193;-4320;-23452;21;0;0;1
194;-15270;-23410;19;0;0;0
195;-16080;-23372;8;0;0;1
196;-33560;-23424;20;0;0;0
197;-4740;-23329;9;0;0;0
198;-20330;-23314;14;1;0;0
199;-42140;-23409;33;0;0;0
200;-28270;-23433;40;0;0;0
201;-19200;-23412;5;0;0;0
202;-4040;-23316;8;0;0;0
203;-51510;-23455;56;1;0;1
204;-7590;-23377;7;0;0;0
205;-21210;-23367;25;0;0;0
206;-9770;-23301;13;0;0;0
207;-9890;-23236;9;0;0;0
208;-14550;-23194;27;0;0;0
209;-23690;-23197;5;0;0;0
210;-20770;-23185;25;0;0;0
211;-32220;-23228;24;0;0;0
212;2590;-23106;16;2;0;2
213;-38590;-23179;44;3;0;5
214;-15470;-23143;24;0;0;0
215;-9690;-23080;9;0;0;0
216;-25370;-23091;11;0;0;0
217;-18930;-23072;8;0;0;0
218;-7820;-23002;25;0;0;0
219;-48380;-23118;57;3;0;1
220;-23720;-23120;13;1;0;0
221;-24990;-23129;37;0;0;0
222;-42280;-23215;25;0;0;0
