Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-59280.0;-59280;18;0;0;0
2;-31350;-45315;7;0;0;0
3;-71930;-54187;49;0;0;1
4;-15670;-44558;14;0;0;0
5;-23390;-40324;7;0;0;0
6;-55500;-42853;39;0;0;1
7;-36180;-41900;16;0;0;0
8;-44740;-42255;13;0;0;0
9;-14040;-39120;8;0;0;0
10;-39250;-39133;5;0;0;0
11;-38300;-39057;5;0;0;0
12;-44290;-39493;32;0;0;0
13;-35880;-39215;11;0;0;0
14;-40400;-39300;7;0;0;0
15;-29600;-38653;5;0;0;0
16;-32350;-38259;8;0;0;0
17;-48590;-38867;32;0;0;0
18;-49300;-39447;36;1;0;0
19;-23480;-38606;8;0;0;0
20;-39800;-38666;6;0;0;0
21;-55110;-39449;56;2;0;2
22;-40850;-39513;8;0;0;0
23;-30340;-39114;23;0;0;0
24;-38750;-39099;5;0;0;0
25;-28500;-38675;14;0;0;0
26;-12180;-37656;8;0;0;0
27;-7610;-36543;18;0;0;0
28;-13960;-35736;15;0;0;0
29;-19100;-35163;5;1;0;0
30;-20060;-34659;21;0;0;0
31;-36580;-34721;27;0;0;0
32;-44740;-35034;12;0;0;0
33;-36740;-35086;15;0;0;0
34;-22150;-34706;7;0;0;0
35;-13040;-34087;7;0;0;0
36;-4730;-33271;10;0;0;0
37;-35760;-33338;20;0;0;0
38;-13200;-32808;11;0;0;3
39;-40280;-33000;15;0;0;0
40;-29600;-32915;5;0;0;0
41;-23600;-32688;5;0;0;0
42;-20970;-32409;19;0;0;0
43;-37950;-32538;24;2;0;0
44;-51390;-32966;20;0;0;0
45;-32360;-32953;23;0;0;0
46;-28840;-32863;16;0;0;0
47;-29600;-32794;5;0;0;0
48;-68820;-33544;30;0;0;1
49;-55470;-33992;45;0;0;0
50;-46840;-34249;41;0;0;0
51;-15000;-33871;9;1;0;0
52;-44650;-34079;26;0;0;0
53;-25970;-33926;15;0;0;0
54;-31300;-33877;7;0;0;0
55;-24200;-33701;10;1;0;0
56;-30100;-33637;6;1;0;0
57;-36660;-33690;39;0;0;0
58;-37550;-33756;10;0;0;0
59;-59660;-34195;32;0;0;0
60;-16200;-33896;7;0;0;0
61;-41050;-34013;7;0;0;0
62;-14040;-33691;9;0;0;0
63;-39380;-33781;11;0;0;0
64;-46400;-33978;12;0;0;0
65;-25990;-33855;10;0;0;0
66;-40200;-33951;11;0;0;0
67;-22590;-33782;7;0;0;0
68;-27230;-33685;23;0;0;0
69;-36770;-33730;18;0;0;0
70;-40950;-33833;7;0;0;0
71;-22920;-33680;20;0;0;0
72;-42640;-33804;10;0;0;0
73;-18440;-33594;14;0;0;0
74;-46930;-33774;16;0;0;0
75;-15150;-33525;9;0;0;0
76;-47000;-33703;23;0;0;0
77;-72420;-34206;66;0;0;0
78;-40450;-34286;7;0;0;0
79;-41140;-34372;19;0;0;0
80;-38540;-34424;21;0;0;0
81;-41050;-34506;12;2;0;0
82;-35550;-34519;14;1;0;0
83;-50080;-34707;41;1;0;5
84;-39690;-34766;20;0;0;0
85;-52090;-34970;23;0;0;1
86;-29210;-34903;22;0;0;0
87;-33640;-34888;11;0;0;0
88;-32500;-34861;14;0;0;0
89;-84380;-35417;72;3;0;0
90;-41940;-35490;11;0;0;0
91;-28240;-35410;6;0;0;0
92;-49020;-35558;47;0;0;0
93;-28640;-35484;19;1;0;0
94;-38650;-35517;10;0;0;0
95;-32990;-35491;6;1;0;0
96;-18540;-35314;13;0;0;0
97;-37280;-35335;16;0;0;0
98;-28050;-35260;46;0;0;5
99;-22230;-35129;11;0;0;0
100;-22450;-35002;11;1;0;0
101;-55080;-35201;14;0;0;1
102;-38140;-35229;6;0;0;0
103;-20640;-35088;15;0;0;0
104;-24790;-34989;8;0;0;0
105;-21880;-34864;18;0;0;0
106;-26630;-34786;12;1;0;0
107;-47400;-34904;14;0;0;0
108;-13580;-34707;10;0;0;0
109;-52380;-34869;41;0;0;0
110;-30300;-34827;14;0;0;0
111;-39850;-34873;6;0;0;0
112;-26100;-34794;7;0;0;1
113;-31900;-34769;7;0;0;0
114;-49260;-34896;36;2;0;2
115;-16330;-34734;12;0;0;0
116;-23300;-34636;9;0;0;0
117;-42500;-34703;14;0;0;0
118;-29250;-34657;9;2;0;0
119;-44520;-34740;17;1;0;0
120;-23290;-34644;11;0;0;1
121;-33740;-34637;25;0;0;0
122;-14670;-34473;13;0;0;0
123;-40670;-34523;18;0;0;1
124;-44570;-34604;35;0;0;0
125;-43530;-34676;13;0;0;0
126;-45060;-34758;37;1;0;1
127;-33080;-34745;31;0;0;0
128;-27570;-34689;16;0;0;0
129;-42400;-34749;23;0;0;1
130;-51970;-34881;29;0;0;2
131;-17250;-34747;10;0;0;0
132;-28600;-34700;5;0;0;0
133;-11940;-34529;6;0;0;0
134;-23590;-34447;6;0;0;0
135;-25970;-34385;14;0;0;0
136;-27660;-34335;19;0;0;0
137;-22700;-34250;6;0;0;0
138;-37350;-34273;26;0;0;0
139;-29630;-34239;16;0;0;2
140;-41550;-34291;8;0;0;0
141;-32230;-34277;12;0;0;0
142;-7620;-34089;15;0;0;0
143;-44350;-34161;20;1;0;0
144;-41890;-34215;10;0;0;0
145;-43280;-34277;24;1;0;0
146;-14140;-34139;8;0;0;0
147;-32430;-34127;25;0;0;2
148;-22540;-34049;18;0;0;2
149;-14370;-33917;27;0;0;1
150;-28440;-33881;28;0;0;0
151;-47880;-33973;16;0;0;0
152;-30240;-33949;7;0;0;0
153;-48280;-34042;29;0;0;0
154;-14940;-33918;49;2;0;5
155;-31860;-33905;29;2;0;2
156;-52380;-34024;30;1;0;1
157;-40740;-34066;9;0;0;0
158;-28090;-34028;12;0;0;0
159;-24390;-33968;10;0;0;0
160;-37950;-33993;16;0;0;0
161;-23030;-33925;9;0;0;0
162;-21390;-33847;6;0;0;0
163;-39680;-33883;9;0;0;0
164;-37780;-33907;17;0;0;0
165;-39150;-33939;5;0;0;0
166;-22490;-33870;5;0;0;0
167;-32230;-33860;11;0;0;0
168;-14040;-33742;8;0;0;0
169;-16690;-33641;11;0;0;0
170;-22690;-33577;7;0;0;0
171;-18440;-33488;21;2;0;0
172;-22250;-33423;10;1;0;0
173;-31990;-33414;10;0;0;0
174;-24880;-33365;11;0;0;0
175;-21490;-33297;6;0;0;0
176;-31000;-33284;8;1;0;0
177;-15240;-33182;10;0;0;0
178;-16120;-33087;15;1;0;0
179;-19690;-33012;11;0;0;0
180;-30870;-33000;34;2;0;2
181;-43740;-33059;12;0;0;0
182;-33700;-33063;5;0;0;0
183;-21720;-33001;20;0;0;0
184;-16690;-32912;11;0;0;0
185;-41050;-32956;10;0;0;0
186;-40550;-32997;10;0;0;0
187;-31760;-32990;14;0;0;0
188;-39730;-33026;36;0;0;0
189;-24120;-32979;12;0;0;0
190;-17240;-32896;18;0;0;3
191;-14030;-32797;10;0;0;0
192;-26340;-32764;11;0;0;0
193;-1640;-32603;6;0;0;0
194;-31440;-32597;9;0;0;0
195;-23590;-32550;8;0;0;0
196;-85140;-32819;44;0;0;1
197;-35240;-32831;8;0;0;0
198;-47190;-32903;34;1;0;3
199;-28860;-32883;33;0;0;0
200;-13050;-32784;6;0;0;0
201;-26970;-32755;15;0;0;0
202;-29600;-32739;5;0;0;0
203;-30250;-32727;6;0;0;0
204;-19450;-32662;5;0;0;0
205;-26840;-32634;20;1;0;0
206;-14150;-32544;7;0;0;0
207;-23190;-32499;8;0;0;0
208;-24290;-32459;9;0;0;0
209;-24800;-32423;8;0;0;0
210;-32440;-32423;10;0;0;0
211;-17420;-32352;16;0;0;0
212;-21200;-32299;20;0;0;1
213;-24050;-32260;22;0;0;0
214;-22700;-32216;6;0;0;0
215;-41000;-32257;7;0;0;0
216;-19220;-32196;27;0;0;0
217;-24350;-32160;6;1;0;0
218;-31350;-32156;16;0;0;0
219;-23280;-32116;10;0;0;0
220;-23240;-32075;10;0;0;0
221;-23600;-32037;5;0;0;0
222;-11940;-31947;6;0;0;0
223;-46990;-32014;16;0;0;3
224;-27220;-31993;27;0;0;0
225;-41450;-32035;7;0;0;0
226;-76300;-32230;29;0;0;2
227;-43140;-32279;11;0;0;0
228;-66690;-32429;39;1;0;2
229;-29000;-32414;5;0;0;0
230;-34580;-32424;14;0;0;0
231;-29130;-32410;8;0;0;0
232;-25980;-32382;12;0;0;0
233;-14250;-32304;11;1;0;0
234;-40440;-32339;9;0;0;0
235;-47290;-32403;38;3;0;3
236;-38850;-32430;5;0;0;0
237;-19920;-32377;30;1;0;1
238;-22590;-32336;8;0;0;0
239;-9510;-32240;22;0;0;3
240;-36360;-32258;22;0;0;0
241;-28700;-32243;5;0;0;0
242;-14880;-32171;11;1;0;0
243;-29180;-32159;16;0;0;0
244;-28700;-32145;5;0;0;0
245;-32690;-32147;13;0;0;0
246;-25490;-32120;10;0;0;0
247;-11090;-32035;11;0;0;2
248;-33440;-32040;10;0;0;0
249;-23660;-32007;56;0;0;3
250;-29100;-31995;5;0;0;0
251;-40350;-32028;7;0;0;0
252;-33430;-32034;12;0;0;0
253;-41480;-32071;12;0;0;0
254;-25890;-32047;10;0;0;0
255;-17860;-31991;18;0;0;0
256;-21570;-31951;9;0;0;0
257;-27150;-31932;7;1;0;0
258;-51720;-32009;31;2;0;3
259;-19450;-31960;5;0;0;0
260;-30520;-31954;19;0;0;0
261;-37330;-31975;20;0;0;1
262;-12080;-31899;18;0;0;0
263;-3830;-31792;9;0;0;0
264;-34640;-31803;15;0;0;2
265;-25490;-31779;10;0;0;0
266;-34690;-31790;13;0;0;0
267;-25480;-31767;12;0;0;0
268;-3150;-31660;6;0;0;0
269;-18850;-31612;15;0;0;0
270;-53800;-31694;24;0;0;1
271;-35740;-31709;13;0;0;0
272;-23470;-31679;12;0;0;0
273;-19960;-31636;19;0;0;0
274;-23600;-31607;5;0;0;0
275;-37370;-31628;19;0;0;0
276;-21490;-31591;7;0;0;0
277;-650;-31479;7;1;0;0
278;-14450;-31418;11;1;0;0
279;-28230;-31407;8;0;0;0
280;-20550;-31368;6;0;0;0
281;-1660;-31262;12;0;0;0
282;-4040;-31166;8;0;0;0
283;-14840;-31108;10;0;0;0
284;-11940;-31040;6;0;0;0
285;-13250;-30978;37;1;0;2
286;-21490;-30945;6;0;0;0
287;-33000;-30952;8;0;0;0
288;-17320;-30905;16;0;0;0
289;-53150;-30982;71;2;0;2
290;-43930;-31026;23;2;0;5
291;-33570;-31035;24;1;0;1
292;-6040;-30949;10;0;0;0
293;-22090;-30919;7;0;0;0
294;-19620;-30881;17;0;0;0
295;-11840;-30816;6;0;0;0
296;-6480;-30734;14;0;0;0
297;-20500;-30700;6;0;0;0
298;-22830;-30673;18;0;0;0
299;-36340;-30692;16;0;0;0
300;-2790;-30599;8;0;0;0
301;-29250;-30595;22;0;0;0
302;-39300;-30623;6;0;0;0
303;-28550;-30617;5;0;0;0
304;-28430;-30609;14;0;0;0
305;-15800;-30561;25;2;0;0
306;-11900;-30500;11;2;0;0
307;-15240;-30450;9;0;0;0
308;-19320;-30414;22;0;0;2
309;-29190;-30410;16;0;0;0
310;-16470;-30365;15;0;0;0
311;-26650;-30353;15;0;0;0
312;-38480;-30379;21;1;0;2
313;-22390;-30354;5;0;0;0
314;-6570;-30278;15;0;0;0
315;-30050;-30277;10;0;0;0
316;-5870;-30200;29;1;0;2
317;-16320;-30156;14;0;0;0
318;-10090;-30093;9;0;0;1
319;-39250;-30122;5;0;0;0
320;-23700;-30102;7;0;0;0
321;-35840;-30120;17;2;0;0
322;-17890;-30082;12;0;0;0
323;-27170;-30073;26;0;0;2
324;-20550;-30043;7;1;0;0
325;-24680;-30027;22;1;0;1
326;-25700;-30013;7;0;0;0
327;-12340;-29959;15;0;0;0
328;-14140;-29911;8;0;0;0
329;-22380;-29888;9;0;0;0
330;-28140;-29883;7;0;0;0
331;-30380;-29885;16;0;0;0
332;-24880;-29869;11;0;0;0
333;-13040;-29819;7;0;0;0
334;-14590;-29773;10;0;0;0
335;-30600;-29776;12;1;0;0
336;-18900;-29743;5;0;0;0
337;-23690;-29725;6;0;0;0
338;-15140;-29682;9;0;0;0
339;-13050;-29633;6;0;0;0
340;-16100;-29593;10;1;0;0
341;-42280;-29631;20;0;0;1
342;-12770;-29581;21;0;0;0
343;-24730;-29567;11;0;0;0
344;-20250;-29540;13;0;0;0
345;-21280;-29516;8;0;0;0
346;-37930;-29540;18;0;0;0
347;-11840;-29489;6;0;0;0
348;-38700;-29516;5;0;0;0
349;-25030;-29503;12;0;0;0
350;-35270;-29520;22;0;0;2
351;-13120;-29473;20;0;0;0
352;-22670;-29453;11;0;0;0
353;-27530;-29448;14;0;0;0
354;-29100;-29447;5;0;0;0
355;-13020;-29401;11;0;0;0
356;-39250;-29428;5;0;0;0
357;-40450;-29459;7;0;0;0
358;-30780;-29463;39;1;0;2
359;-12660;-29416;23;0;0;2
360;-12280;-29369;8;0;0;0
361;-9570;-29314;18;0;0;1
362;-40440;-29345;8;0;0;0
363;-16660;-29310;17;0;0;0
364;-22600;-29291;6;0;0;0
365;-21750;-29270;10;2;0;0
366;-15130;-29232;11;0;0;0
367;-32980;-29242;10;1;0;0
368;-23690;-29227;9;0;0;0
369;-50150;-29284;41;1;0;2
370;-850;-29207;7;1;0;0
371;-25500;-29197;9;0;0;0
372;-31940;-29204;12;0;0;0
373;-17000;-29171;7;0;0;1
374;-10980;-29123;7;0;0;0
375;-35740;-29140;16;0;0;2
376;-30150;-29143;6;0;0;0
377;-25990;-29135;10;0;0;0
378;-8200;-29079;14;1;0;2
379;-12770;-29036;11;0;0;0
380;-39360;-29064;40;1;0;2
381;-23590;-29049;6;0;0;0
382;-19610;-29024;19;0;0;0
383;-14040;-28985;8;0;0;0
384;-24890;-28975;10;0;0;0
385;-3370;-28908;16;0;0;0
386;-24590;-28897;8;0;0;0
387;-23770;-28884;12;0;0;0
388;-44180;-28923;21;0;0;2
389;-2190;-28854;7;0;0;0
390;-26430;-28848;27;2;0;0
391;-1070;-28777;31;1;0;3
392;-11840;-28734;6;0;0;0
393;-14680;-28698;11;0;0;0
394;-42360;-28733;29;0;0;2
395;-19450;-28709;5;0;0;0
396;-42340;-28744;22;0;0;0
397;-15720;-28711;16;1;0;0
398;-28600;-28711;5;0;0;0
399;-38520;-28735;23;0;0;1
400;-100;-28664;8;0;0;0
401;-15890;-28632;11;0;0;0
402;-35190;-28648;49;3;0;1
403;-16330;-28618;12;0;0;0
404;-13740;-28581;11;1;0;0
405;-24930;-28572;11;0;0;0
406;130;-28501;14;0;0;2
407;-10680;-28457;7;0;0;0
408;-29590;-28460;8;0;0;0
409;-40180;-28489;24;1;0;1
410;-15570;-28457;40;1;0;6
411;-22430;-28443;9;0;0;0
412;-27380;-28440;38;2;0;4
413;-14140;-28405;8;0;0;0
414;-26900;-28402;9;0;0;0
415;-25400;-28394;9;0;0;0
416;-5030;-28338;11;0;0;0
417;-14230;-28304;21;0;0;0
418;-69470;-28403;28;0;0;1
419;-1640;-28339;6;0;0;0
420;-20050;-28319;5;0;0;0
421;-30650;-28325;10;2;0;0
422;-24360;-28315;32;2;0;5
423;-24750;-28307;17;0;0;0
424;-5080;-28252;12;0;0;0
425;-29830;-28256;22;0;0;2
426;-25870;-28250;14;0;0;0
427;-50320;-28302;47;3;0;3
428;-14180;-28269;14;1;0;0
429;-11940;-28231;6;0;0;0
430;-14120;-28198;11;0;0;0
431;-13600;-28164;13;0;0;0
432;-17150;-28139;12;1;0;0
433;-19450;-28119;5;0;0;0
434;3440;-28046;25;0;0;4
435;-38170;-28069;42;2;0;2
436;-7890;-28023;7;0;0;1
437;-38850;-28048;5;0;0;0
438;-26570;-28044;16;0;0;0
439;2210;-27976;7;0;0;0
440;-39670;-28002;29;1;0;2
441;-20070;-27984;26;3;0;3
442;-30250;-27989;6;0;0;0
443;-82620;-28113;68;1;0;5
444;-14140;-28081;8;0;0;0
445;-13930;-28049;31;3;0;4
446;-22150;-28036;9;1;0;0
447;-13040;-28003;7;0;0;0
448;-22200;-27990;6;0;0;0
449;-9980;-27949;11;0;0;2
450;-16550;-27924;44;2;0;3
451;-24740;-27917;10;0;0;0
452;-39130;-27942;15;0;0;1
453;-25330;-27936;12;0;0;0
454;-6370;-27889;18;0;0;3
455;-49010;-27935;75;4;0;7
456;-3940;-27882;21;1;0;1
457;-42330;-27914;20;1;0;2
458;-5090;-27864;9;0;0;1
459;-27690;-27864;13;0;0;0
460;-21950;-27851;7;1;0;0
461;-4740;-27801;9;0;0;0
462;-760;-27742;15;0;0;3
463;-14600;-27714;29;0;0;4
464;-22730;-27703;9;0;0;0
465;4160;-27635;7;0;0;1
466;-65390;-27716;42;4;0;3
467;-33840;-27729;40;2;0;3
468;-16340;-27704;20;0;0;0
469;-7380;-27661;16;0;0;1
470;-17550;-27640;44;4;0;7
471;-33040;-27651;44;1;0;7
472;-21150;-27637;36;3;0;3
473;-24290;-27630;9;0;0;0
474;-23020;-27620;13;0;0;0
475;-13430;-27591;10;0;0;0
476;-16920;-27568;16;0;0;1
477;-37280;-27589;40;1;0;1
478;-16410;-27565;25;0;0;2
479;-33290;-27577;35;1;0;2
480;-14090;-27549;9;0;0;0
481;-7880;-27508;18;0;0;2
482;-11280;-27474;7;0;0;0
483;-16050;-27451;18;1;0;0
484;-11940;-27419;6;0;0;0
485;-49730;-27465;24;1;0;1
486;-20770;-27451;10;0;0;0
487;-19910;-27436;13;0;0;0
488;-16300;-27413;16;1;0;0
489;-9200;-27375;29;0;0;3
490;-11930;-27344;8;0;0;0
491;-36250;-27362;64;1;0;6
492;-19620;-27346;23;0;0;0
493;-24650;-27341;17;0;0;0
494;-30750;-27348;8;0;0;0
495;-30150;-27353;9;0;0;0
496;-2150;-27303;36;2;0;4
497;-2560;-27253;20;0;0;4
498;-22240;-27243;13;0;0;1
499;-15080;-27218;13;0;0;2
500;-1740;-27167;6;0;0;0
501;-28480;-27170;36;1;0;2
502;-10090;-27136;9;0;0;1
503;-16530;-27115;15;0;0;2
504;-13670;-27088;42;1;0;3
505;-25310;-27085;17;0;0;2
506;-84990;-27199;57;2;0;4
507;-29600;-27204;5;0;0;0
508;7020;-27137;23;1;0;4
509;-17420;-27117;17;0;0;0
510;-6730;-27077;23;2;0;3
511;-27390;-27078;35;1;0;3
512;-20990;-27066;6;0;0;0
513;-21110;-27055;41;2;0;3
514;-69400;-27137;59;2;0;6
515;-23290;-27129;8;0;0;0
516;-28420;-27132;21;3;0;0
517;-11380;-27102;10;0;0;0
518;7030;-27036;20;1;0;1
519;-11940;-27007;6;0;0;0
520;-14030;-26982;33;2;0;6
521;-19050;-26966;27;0;0;1
522;-25020;-26963;46;2;0;5
523;-25150;-26959;7;0;0;0
524;-19210;-26944;11;0;0;0
525;-11450;-26915;9;2;0;0
526;-27930;-26917;7;0;0;0
527;-18800;-26901;22;0;0;1
528;380;-26850;20;0;0;2
529;5030;-26789;34;3;0;4
530;13130;-26714;40;5;0;7
531;11180;-26643;71;9;0;9
532;-41550;-26671;14;0;0;1
533;380;-26620;9;1;0;0
534;2930;-26565;53;6;0;7
535;-11430;-26536;17;0;0;0
536;-34570;-26551;48;3;0;6
537;-8770;-26518;21;0;0;2
538;-3240;-26475;8;0;0;0
539;-17110;-26458;29;2;0;2
540;-2780;-26414;15;2;0;2
541;-12950;-26389;6;0;0;0
542;-4340;-26348;15;1;0;1
543;-11700;-26321;8;1;0;0
544;-40050;-26347;8;0;0;0
545;-23050;-26340;22;0;0;3
546;-27670;-26343;33;2;0;2
547;-12510;-26318;35;1;0;4
