Round;Reward;Average Reward;Steps Survived;Coins Collected;Enemies Killed;Crates Destroyed
1;-97700.0;-97700;14;1;0;0
2;-111000;-104350;12;1;0;0
3;-168150;-125617;21;1;0;1
4;-113250;-122525;13;0;0;0
5;-148910;-127802;34;1;0;1
6;-88800;-121302;8;0;0;0
7;-80830;-115520;14;1;0;1
8;-200320;-126120;34;2;0;0
9;-161780;-130082;20;0;0;0
10;-114290;-128503;9;0;0;0
11;-102750;-126162;17;0;0;0
12;-83950;-122644;9;0;0;0
13;-63390;-118086;6;0;0;0
14;-461200;-142594;72;0;0;0
15;-39790;-135741;7;0;0;0
16;-56340;-130778;9;0;0;0
17;-125790;-130485;16;0;0;0
18;-120950;-129955;8;0;0;0
19;-120250;-129444;13;0;0;0
20;-49010;-125422;17;0;0;0
21;-101850;-124300;9;0;0;0
22;-173790;-126550;22;0;0;0
23;-87390;-124847;9;0;0;0
24;-65900;-122391;5;0;0;0
25;-193420;-125232;26;0;0;0
26;-107340;-124544;8;0;0;0
27;-260960;-129596;38;0;0;0
28;-187740;-131673;22;0;0;0
29;-114950;-131096;14;2;0;0
30;-100450;-130075;11;0;0;0
31;-104950;-129264;6;0;0;0
32;-341000;-135881;55;0;0;0
33;-97850;-134728;9;0;0;0
34;-203530;-136752;22;0;0;0
35;-105250;-135852;14;0;0;0
36;-505860;-146130;60;0;0;1
37;-102450;-144949;21;0;0;0
38;-294270;-148879;40;0;0;1
39;-100560;-147640;16;0;0;0
40;-85000;-146074;11;1;0;0
41;-268660;-149064;32;0;0;0
42;-124790;-148486;14;0;0;0
43;-73900;-146751;6;0;0;0
44;-73250;-145081;10;0;0;0
45;-156510;-145335;23;0;0;0
46;-397840;-150824;57;0;0;0
47;-51680;-148715;10;0;0;0
48;-16790;-145966;8;0;0;3
49;-109790;-145228;14;0;0;0
50;-405000;-150423;67;1;0;0
51;-83900;-149119;7;0;0;0
52;-160980;-149347;20;0;0;0
53;-107300;-148554;8;0;0;0
54;-191570;-149350;22;0;0;0
55;-138450;-149152;12;0;0;0
56;-201540;-150088;36;0;0;0
57;-97850;-149171;14;1;0;0
58;-87390;-148106;9;0;0;0
59;-143020;-148020;16;0;0;0
60;-128830;-147700;18;0;0;0
61;-29670;-145765;9;0;0;0
62;-187580;-146440;20;0;0;0
63;-58730;-145047;11;0;0;0
64;-136180;-144909;17;0;0;0
65;-336650;-147859;63;4;0;0
66;-65900;-146617;5;0;0;0
67;-81400;-145643;7;0;0;0
68;-113900;-145177;11;0;0;0
69;-141180;-145119;14;0;0;0
70;-84450;-144252;14;1;0;0
71;-124170;-143969;17;0;0;0
72;-331700;-146577;59;0;0;0
73;-96400;-145889;5;0;0;0
74;-103900;-145322;6;0;0;0
75;-208250;-146161;31;2;0;0
76;-97280;-145518;14;0;0;0
77;-42730;-144183;9;0;0;0
78;-205150;-144964;19;0;0;0
79;-87390;-144236;9;0;0;0
80;-41290;-142949;7;0;0;0
81;-158350;-143139;25;0;0;0
82;-151390;-143240;17;0;0;0
83;-95230;-142661;12;0;0;0
84;-65900;-141747;5;0;0;0
85;-138240;-141706;12;0;0;0
86;-79630;-140984;14;0;0;0
87;-155230;-141148;38;0;0;0
88;-185400;-141651;29;0;0;0
89;-73780;-140888;9;0;0;0
90;-81290;-140226;12;0;0;0
91;-172630;-140582;18;0;0;0
92;-100900;-140151;9;0;0;0
93;-118750;-139921;8;0;0;0
94;-66400;-139139;5;0;0;0
95;-41280;-138108;7;0;0;0
96;-95900;-137669;5;0;0;0
97;-65900;-136929;5;0;0;0
98;-73350;-136280;6;0;0;0
99;-129850;-136215;11;0;0;0
100;-73900;-135592;6;0;0;0
101;-89400;-135135;6;0;0;0
102;-242790;-136190;37;0;0;0
103;-155130;-136374;16;0;0;1
104;-65900;-135696;5;0;0;0
105;-271850;-136993;39;0;0;0
106;-206370;-137648;33;0;0;0
107;-190750;-138144;17;0;0;0
108;-99640;-137787;13;0;0;0
109;-138790;-137797;12;0;0;0
110;-51200;-137009;12;0;0;0
111;-75600;-136456;6;0;0;0
112;-203600;-137056;26;0;0;0
113;-103390;-136758;11;0;0;0
114;-44000;-135944;8;0;0;0
115;-232750;-136786;39;0;0;0
116;-145780;-136863;18;0;0;0
117;-137870;-136872;19;0;0;0
118;-226730;-137633;42;3;0;1
119;-261340;-138673;30;0;0;0
120;-81650;-138198;7;1;0;0
121;-159080;-138370;22;0;0;0
122;-50850;-137653;7;0;0;0
123;-131120;-137600;18;0;0;0
124;-169690;-137859;16;0;0;0
125;-143850;-137907;11;0;0;0
126;-34730;-137088;8;0;0;0
127;-107690;-136856;12;0;0;0
128;-96500;-136541;9;0;0;0
129;-71700;-136038;9;0;0;0
130;-225200;-136724;28;2;0;0
131;-81620;-136304;12;0;0;0
132;-52850;-135671;7;0;0;0
133;-96400;-135376;5;0;0;0
134;-51400;-134749;5;0;0;0
135;-75950;-134314;8;0;0;0
136;-192910;-134745;48;1;0;0
137;-136950;-134761;10;0;0;0
138;-107960;-134567;17;0;0;0
139;-87230;-134226;11;0;0;0
140;-133730;-134222;13;0;0;0
141;-111900;-134064;7;0;0;0
142;-246190;-134854;46;0;0;1
143;-55730;-134300;7;0;0;0
144;-480050;-136701;90;2;0;0
145;-143540;-136749;21;1;0;0
146;-84790;-136393;9;0;0;0
147;-150780;-136491;17;1;0;0
148;-165240;-136685;19;0;0;0
149;-115300;-136541;9;0;0;0
150;-99070;-136292;14;0;0;0
151;-51950;-135733;5;0;0;0
152;-91890;-135445;6;0;0;0
153;-161970;-135618;22;0;0;0
154;-55700;-135099;7;0;0;0
155;-194090;-135480;23;0;0;0
156;-166370;-135678;23;0;0;0
157;-250430;-136408;40;0;0;0
158;-63500;-135947;8;1;0;0
159;-67400;-135516;7;0;0;0
160;-219530;-136041;24;0;0;0
161;-130020;-136004;18;0;0;0
162;-113900;-135867;11;0;0;0
163;-91100;-135593;6;1;0;0
164;-124720;-135526;17;0;0;0
165;-240720;-136164;44;1;0;1
166;-144400;-136213;11;0;0;0
167;-266540;-136994;33;1;0;0
168;-302490;-137979;36;2;0;3
169;-102400;-137768;9;0;0;0
170;-174890;-137987;22;0;0;3
171;-635600;-140897;88;1;0;1
172;-90250;-140602;11;0;0;0
173;-96450;-140347;5;0;0;0
174;-142830;-140361;26;0;0;0
175;-235470;-140905;35;0;0;0
176;-86890;-140598;9;0;0;0
177;-190940;-140882;21;0;0;0
178;-59450;-140425;22;1;0;0
179;-72800;-140047;6;0;0;0
180;-79240;-139709;12;0;0;0
181;-130790;-139660;11;0;0;0
182;-134750;-139633;10;0;0;0
183;-110400;-139473;10;0;0;0
184;-104400;-139283;6;0;0;0
185;-112400;-139137;7;0;0;0
186;-114790;-139006;9;0;0;0
187;-204080;-139354;22;0;0;0
188;-57500;-138919;9;1;0;0
189;-380260;-140196;56;0;0;0
190;-348360;-141292;56;1;0;0
191;-98950;-141070;7;0;0;0
192;-210850;-141433;28;0;0;1
193;-65900;-141042;5;0;0;0
194;-80300;-140729;7;0;0;0
195;-265520;-141369;50;2;0;0
196;-235300;-141848;41;1;0;0
197;-81230;-141540;10;0;0;0
198;-147140;-141569;13;1;0;0
199;-158290;-141653;18;0;0;0
200;-89830;-141394;11;0;0;0
201;-49650;-140937;7;0;0;0
202;-120600;-140836;8;0;0;0
203;-352310;-141878;56;0;0;0
204;-308390;-142694;49;1;0;1
205;-291200;-143419;34;0;0;1
206;-120400;-143307;8;0;0;0
207;-228080;-143717;33;0;0;0
208;-90170;-143459;20;1;0;0
209;-135750;-143422;12;0;0;0
210;-174290;-143569;20;0;0;0
211;-296070;-144292;56;0;0;0
212;-65900;-143922;5;0;0;0
213;-79390;-143619;8;0;0;0
214;-104950;-143439;6;0;0;0
215;-137750;-143412;18;0;0;0
216;-189240;-143624;24;0;0;0
217;-149300;-143650;20;2;0;0
218;-195400;-143888;38;0;0;0
219;-73400;-143566;6;0;0;0
220;-93730;-143339;8;0;0;0
221;-191040;-143555;42;0;0;2
222;-68340;-143216;5;0;0;0
223;-209590;-143514;39;0;0;0
224;-73350;-143201;6;0;0;0
225;-170790;-143323;23;1;0;0
226;-76800;-143029;8;0;0;0
227;-151850;-143068;12;0;0;0
228;-69990;-142747;9;0;0;0
229;-207580;-143031;26;0;0;0
230;-66400;-142697;5;0;0;0
231;-85790;-142451;11;0;0;0
232;-179430;-142610;28;0;0;2
233;-512220;-144197;71;0;0;0
234;-98180;-144000;16;0;0;0
235;-129150;-143937;13;0;0;0
236;-206390;-144202;21;0;0;0
237;-510670;-145748;97;1;0;1
238;-96950;-145543;5;0;0;0
239;-169750;-145644;16;0;0;0
240;-112300;-145505;11;0;0;0
241;-198560;-145725;28;0;0;0
242;-116790;-145606;13;0;0;0
243;-237150;-145982;25;0;0;0
244;-115470;-145857;20;0;0;0
245;-57800;-145498;8;0;0;0
246;-66730;-145178;12;0;0;0
247;-96400;-144980;5;0;0;0
248;-158500;-145035;22;1;0;1
249;-171130;-145140;16;0;0;1
250;-329330;-145876;38;0;0;0
251;-159850;-145932;13;0;0;0
252;-214560;-146204;30;0;0;0
253;-245410;-146596;39;0;0;0
254;-215300;-146867;20;0;0;0
255;-50850;-146490;7;0;0;0
256;-171890;-146590;28;0;0;0
257;-100600;-146411;11;1;0;0
258;-96400;-146217;5;0;0;0
259;-213310;-146476;36;0;0;0
260;-163970;-146543;26;0;0;0
261;-65780;-146234;8;0;0;0
262;-77790;-145973;10;0;0;0
263;-62060;-145653;13;0;0;0
264;-96800;-145468;9;0;0;0
265;-90750;-145262;6;0;0;0
266;-98950;-145088;7;0;0;0
267;-87540;-144872;13;1;0;0
268;-199580;-145076;25;0;0;0
269;-68840;-144793;7;0;0;0
270;-170790;-144889;16;0;0;0
271;-175820;-145003;28;0;0;0
272;-147400;-145012;17;0;0;0
273;-146090;-145016;17;0;0;0
274;-82400;-144788;7;0;0;0
275;-90330;-144590;11;0;0;0
276;-73400;-144332;6;0;0;0
277;-137690;-144308;12;0;0;0
278;-173920;-144414;20;0;0;0
279;-174560;-144522;25;0;0;0
280;-191790;-144691;36;2;0;0
281;-231290;-144999;47;1;0;1
282;-188400;-145153;44;2;0;2
283;-199960;-145347;35;1;0;0
284;-42300;-144984;6;0;0;0
285;-112950;-144872;7;0;0;0
286;-185400;-145013;20;0;0;1
287;-89900;-144821;8;0;0;0
288;-86000;-144617;11;0;0;0
289;-89280;-144426;11;0;0;0
290;-115650;-144326;19;0;0;0
291;-148680;-144341;15;0;0;0
292;-210800;-144569;23;0;0;0
293;-65650;-144300;5;1;0;0
294;-106330;-144170;13;0;0;0
295;-17790;-143742;10;0;0;1
296;-164170;-143811;22;0;0;0
297;-19000;-143391;8;0;0;0
298;-488640;-144549;68;0;0;0
299;-101180;-144404;9;0;0;0
300;-168400;-144484;26;0;0;0
